date,event,venue,room,attendance_count,first_timers_count,born_again_count,last_modified
2016-12-01T18:30:00Z,Thursday Service,Leeds Beckett University,Rose Bowl Building CCRB 546,9,0,0,2016-12-01T23:48:49.228000Z
2016-11-29T17:30:00Z,Outreach,,,2,0,0,2016-11-29T23:34:44.056000Z
2016-11-27T14:00:00Z,Sunday Service,University of leeds,Parkinson Building SR B.11,12,1,0,2016-11-29T22:46:26.397000Z
2016-11-24T18:30:00Z,Thursday Service,Leeds Beckett University,Rose Bowl Building CCRB 546,12,0,0,2016-11-29T22:45:56.397000Z
